premios@ganadineroya.biz|¡Felicitaciones, ganaste un premio!|Has sido seleccionado para recibir un regalo totalmente GRATIS.|http://ganadineroya.biz| |Spam
soporte@banco.com.mx|Verifique su cuenta inmediatamente|Su cuenta será bloqueada si no actualiza sus datos.|http://banco-seguro.tk| |Spam
ofertas@promo-free.ru|¡Oferta exclusiva solo por hoy!|Obtén un descuento del 90% en tus compras.|http://promo-free.ru| |Spam
reclamos@paypal-security.net|Actualice su información de PayPal|Su cuenta está en riesgo. Haga clic para confirmar sus datos.|http://paypal-verificacion.tk| |Spam
loteria@millonario.com|Ganaste la lotería internacional|Reclama tu premio antes de 24 horas.|http://loteria-premio.org| |Spam
contacto@fastloan.ru|Crédito aprobado sin revisión|Recibe hasta $50,000 hoy mismo.|http://fastloan.ru| |Spam
soporte@netflix-update.net|Actualice su método de pago|Su suscripción será cancelada si no actualiza su información.|http://netflix-update.net| |Spam
info@virusalert.cc|Tu computadora está infectada|Descarga el software antivirus gratuito.|http://virusalert.cc|setup.exe|Spam
promo@luxurywatches.co|Relojes de lujo con 95% de descuento|Aprovecha la oferta antes de que termine.|http://luxurywatches.co| |Spam
ventas@medicinalnatural.ru|Pastillas milagrosas para adelgazar|Pierde peso sin esfuerzo.|http://medicinalnatural.ru| |Spam
info@bitcoinfast.io|Multiplica tu dinero en 24 horas|Invierte 0.01 BTC y gana 10x.|http://bitcoinfast.io| |Spam
contacto@viajesgratis.net|Gana un viaje todo pagado a Cancún|Participa completando este formulario.|http://viajesgratis.net| |Spam
noticias@cuponesgratis.ru|Cupones exclusivos para ti|Ahorra en tus compras online.|http://cuponesgratis.ru| |Spam
alerta@banco-seguro.mx|Bloqueo de cuenta por actividad sospechosa|Haga clic para verificar.|http://banco-seguro.mx| |Spam
seguridad@amazon-update.org|Problemas con su pedido|Revise el estado de su compra aquí.|http://amazon-update.org| |Spam
info@invertirya.io|Gane dinero fácil en línea|Comience hoy con solo $5.|http://invertirya.io| |Spam
contacto@casino-premium.ru|Juegue y gane grandes premios|Regístrese para obtener su bono gratis.|http://casino-premium.ru| |Spam
promos@saludperfecta.ru|Cura definitiva para el dolor|Compra ahora con envío gratis.|http://saludperfecta.ru| |Spam
soporte@facebook-help.net|Problema con su cuenta|Necesitamos confirmar su identidad.|http://facebook-help.net| |Spam
ventas@electrooferta.biz|Super descuentos en gadgets|Compra hoy y paga después.|http://electrooferta.biz| |Spam
info@datinglove.ru|Encuentra pareja hoy mismo|Miles de personas te esperan.|http://datinglove.ru| |Spam
promocion@cochesbaratos.ru|Autos nuevos al 50% de descuento|Regístrate para ver la oferta.|http://cochesbaratos.ru| |Spam
servicio@spotify-renew.net|Tu suscripción ha expirado|Renueva ahora y obtén 3 meses gratis.|http://spotify-renew.net| |Spam
newsletter@cryptoprofit.io|Aprende a invertir en criptomonedas|Descubre cómo duplicar tus ganancias.|http://cryptoprofit.io| |Spam
soporte@apple-verify.org|Tu Apple ID ha sido bloqueado|Haz clic para verificar tu cuenta.|http://apple-verify.org| |Spam
info@freegiftcards.ru|Obtén una tarjeta de regalo gratis|Participa en nuestra encuesta.|http://freegiftcards.ru| |Spam
contact@winiphone.net|Gana un iPhone 15 Pro gratis|Solo por responder esta encuesta.|http://winiphone.net| |Spam
alert@delivery-update.org|Tu paquete no pudo ser entregado|Confirma tu dirección de envío.|http://delivery-update.org| |Spam
ventas@shoesdiscount.ru|Zapatos de marca a mitad de precio|Compra antes de que se acaben.|http://shoesdiscount.ru| |Spam
support@windows-update.net|Actualiza tu sistema ahora|Descarga el parche de seguridad.|http://windows-update.net|update_patch.exe|Spam
info@vacacionesdream.net|Viajes todo incluido a bajo costo|Aprovecha nuestras promociones.|http://vacacionesdream.net| |Spam
promos@musclepower.ru|Aumenta tu masa muscular rápido|Usa nuestro suplemento natural.|http://musclepower.ru| |Spam
contacto@energiasolar.io|Paneles solares a bajo costo|Reduce tu factura de luz.|http://energiasolar.io| |Spam
ventas@luxurybags.ru|Bolsos de diseñador con 80% descuento|Compra con envío gratis.|http://luxurybags.ru| |Spam
soporte@whatsapp-secure.net|Tu cuenta de WhatsApp ha sido suspendida|Revisa tu identidad aquí.|http://whatsapp-secure.net| |Spam
alerta@correo-seguro.cc|Hemos detectado actividad sospechosa|Verifica tu información ahora.|http://correo-seguro.cc| |Spam
promos@dietaperfecta.ru|Pierde 10 kilos en una semana|Pide tu kit ahora.|http://dietaperfecta.ru| |Spam
info@bonuscasino.io|Tu bono de bienvenida te espera|Regístrate y gana hasta $500.|http://bonuscasino.io| |Spam
contacto@premiosvip.ru|Tu número fue seleccionado|Reclama tu premio en línea.|http://premiosvip.ru| |Spam
servicio@seguroauto.net|Tu seguro vence hoy|Renueva en minutos.|http://seguroauto.net| |Spam
ventas@makeupdeal.ru|Maquillaje profesional al mejor precio|Descuento solo por hoy.|http://makeupdeal.ru| |Spam
info@televisiongratis.ru|Mira todos los canales premium gratis|Accede aquí.|http://televisiongratis.ru| |Spam
support@netbankupdate.net|Verifica tus datos bancarios|Evita el cierre de tu cuenta.|http://netbankupdate.net| |Spam
contacto@juegosgratis.ru|Descarga juegos sin costo|Solo por tiempo limitado.|http://juegosgratis.ru|game.zip|Spam
newsletter@dietaplus.ru|Nuevo suplemento natural|Pierde peso sin esfuerzo.|http://dietaplus.ru| |Spam
ventas@perfumesvip.ru|Perfumes originales con 70% de descuento|Compra ya.|http://perfumesvip.ru| |Spam
soporte@instagram-update.org|Tu cuenta necesita verificación|Haz clic para continuar.|http://instagram-update.org| |Spam
info@workfromhome.io|Gana dinero desde casa fácilmente|Solo necesitas conexión a internet.|http://workfromhome.io| |Spam
promos@ofertadigital.ru|Ofertas increíbles solo hoy|Compra antes de medianoche.|http://ofertadigital.ru| |Spam
contacto@creditofacil.io|Tu préstamo ha sido aprobado|Recibe el dinero en tu cuenta.|http://creditofacil.io| |Spam
amigo@gmail.com|Fotos del viaje|Aquí te dejo las fotos del fin de semana.|https://drive.google.com/...|fotos_viaje.jpg|Legítimo
profesora@universidad.edu.mx|Entrega de proyecto final|Recuerda enviar tu proyecto antes del lunes.| |proyecto_final.docx|Legítimo
jefe@empresa.com|Reunión del lunes|Te confirmo la reunión para las 10:00 am.| | |Legítimo
cliente@negocio.com|Factura de compra|Adjunto la factura correspondiente a tu pedido.| |factura123.pdf|Legítimo
soporte@tiendaonline.com|Confirmación de pedido|Tu pedido ha sido procesado exitosamente.| | |Legítimo
coordinador@instituto.edu.mx|Horario de exámenes|Te envío el calendario actualizado.| |horario.pdf|Legítimo
familia@padilla.com|Fotos familiares|Espero que te gusten las fotos del domingo.|https://photos.google.com/...|fotos_familia.zip|Legítimo
empleado@empresa.com|Reporte mensual|Aquí está el reporte solicitado.| |reporte_mensual.xlsx|Legítimo
biblioteca@unam.mx|Devolución de libros|Recuerda devolver los libros antes del viernes.| | |Legítimo
doctor@hospital.com|Resultados de laboratorio|Adjunto los resultados de tu análisis.| |resultados.pdf|Legítimo
alumno@escuela.edu.mx|Tarea pendiente|No olvides subir la tarea a la plataforma.|https://plataforma.edu.mx| |Legítimo
admin@foro.com|Cambio de contraseña|Solicitaste un cambio de contraseña recientemente.| | |Legítimo
rrhh@empresa.com|Actualización de datos personales|Necesitamos verificar tu información para nómina.| | |Legítimo
eventos@teatro.com|Entradas confirmadas|Tu compra de boletos fue exitosa.| |boletos.pdf|Legítimo
noticias@revista.com|Boletín semanal|Entérate de las noticias más recientes.|https://revista.com/news| |Legítimo
contacto@biblioteca.com|Renovación de membresía|Tu suscripción vence pronto.| | |Legítimo
ventas@tiendatech.com|Pedido enviado|Tu pedido fue despachado con éxito.|https://tiendatech.com/seguimiento| |Legítimo
editor@blog.com|Nuevo artículo publicado|Revisa el nuevo post de tecnología.|https://blog.com/articulo| |Legítimo
profesor@ciencias.edu.mx|Recordatorio de examen|Examen programado para el jueves a las 9:00.| | |Legítimo
info@aerolinea.com|Itinerario de vuelo|Adjunto tus boletos electrónicos.| |itinerario.pdf|Legítimo
contacto@banco.com.mx|Movimiento reciente|Se realizó un depósito a tu cuenta.|https://banco.com.mx| |Legítimo
asistencia@cursoonline.com|Certificado disponible|Tu curso ha sido completado con éxito.|https://cursoonline.com|certificado.pdf|Legítimo
tienda@ropa.com|Confirmación de compra|Tu pedido ha sido confirmado.| |ticket_compra.pdf|Legítimo
notificaciones@github.com|Nuevo push en tu repositorio|Se actualizó tu proyecto.|https://github.com| |Legítimo
alumno@colegio.edu.mx|Horario de clases|Aquí tienes tu horario actualizado.| |horario_clases.pdf|Legítimo
ventas@amazon.com|Paquete enviado|Tu pedido fue despachado.|https://amazon.com/seguimiento| |Legítimo
alerta@google.com|Nuevo inicio de sesión|Hemos detectado actividad inusual.|https://google.com/security| |Legítimo
info@cinepolis.com|Confirmación de boletos|Tu compra fue exitosa.|https://cinepolis.com|boletos.pdf|Legítimo
profesor@itver.edu.mx|Entrega de prácticas|Recuerda enviar la práctica 3.| | |Legítimo
cliente@mercadolibre.com|Confirmación de pago|Tu pago ha sido procesado correctamente.|https://mercadolibre.com| |Legítimo
soporte@hp.com|Actualización de software|Hay una nueva versión disponible.| | |Legítimo
coordinador@univ.edu.mx|Cambios en el calendario académico|Consulta las nuevas fechas.| | |Legítimo
eventos@universidad.edu.mx|Invitación a conferencia|Te invitamos al evento de ciencia y tecnología.|https://universidad.edu.mx/eventos| |Legítimo
info@spotify.com|Actualización de cuenta|Tu plan premium se ha renovado.|https://spotify.com| |Legítimo
noticias@bbc.com|Resumen diario|Noticias internacionales más relevantes.|https://bbc.com| |Legítimo
